,0,measure,amount,item,4,link_rece
367,,                                    2,                                    tbsp,                                    Tomato sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/protein-packed-tuna-melt,939656/"
368,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/protein-packed-tuna-melt,939656/"
369,,                                    1/2,"                                    tsp, leaves",                                    Oregano,                                    ,"https://www.eatthismuch.com/recipe/nutrition/protein-packed-tuna-melt,939656/"
370,,                                    2,                                    slice (1 oz),                                    Mozzarella cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/protein-packed-tuna-melt,939656/"
371,,                                    1,"                                    cup, chopped",                                    Kale,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sauteed-kale,906652/"
372,,                                    2,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sauteed-kale,906652/"
373,,                                    3,                                    clove,                                    Garlic,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sauteed-kale,906652/"
374,,                                    1,                                    dash,                                    Salt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sauteed-kale,906652/"
375,,                                    2,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sausage-and-egg-breakfast-sandwich,906627/"
376,,                                    1/2,"                                    link, raw",                                    Italian sausage,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sausage-and-egg-breakfast-sandwich,906627/"
377,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/sausage-and-egg-breakfast-sandwich,906627/"
378,,                                    2,                                    tbsp,                                    Pepper or hot sauce,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-buffalo-chicken-salad,907110/"
379,,                                    1/2,                                    cup,                                    Canned chicken,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-buffalo-chicken-salad,907110/"
380,,                                    1,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-buffalo-chicken-salad,907110/"
381,,                                    1,                                    medium,                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/quick-buffalo-chicken-salad,907110/"
382,,                                    6,                                    oz,                                    Nonfat greek yogurt,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/"
383,,                                    1,"                                    medium (7"" to 7-7/8"" long)",                                    Banana,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/"
384,,                                    1,                                    scoop (30g),                                    Whey protein powder,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/"
385,,                                    1,                                    fruit,                                    Avocados,                                    ,"https://www.eatthismuch.com/recipe/nutrition/banana-avocado-protein-smoothie,717726/"
386,,                                    2,                                    cakes,                                    Rice cakes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/rice-cake-with-cheese-snack,1011230/"
387,,                                    1/2,                                    oz,                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/rice-cake-with-cheese-snack,1011230/"
388,,                                    1,                                    dash,                                    Pepper,                                    ,"https://www.eatthismuch.com/recipe/nutrition/rice-cake-with-cheese-snack,1011230/"
389,,                                    1,                                    tbsp,                                    Olive oil,                                    ,"https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-and-tuna-omelet,906427/"
390,,                                    1,                                    large,                                    Egg,                                    ,"https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-and-tuna-omelet,906427/"
391,,                                    3,                                    large,                                    Egg white,                                    ,"https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-and-tuna-omelet,906427/"
392,,                                    1,                                    can,                                    Tuna,                                    ,"https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-and-tuna-omelet,906427/"
393,,                                    1,                                    slice (1 oz),                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/eggs-cheese-and-tuna-omelet,906427/"
394,,                                    2,                                    slice,                                    Whole-wheat bread,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
395,,                                    2,                                    slice,                                    Sliced ham,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
396,,                                    1,                                    slice (1 oz),                                    Cheddar cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
397,,                                    3,"                                    slice, medium (1/4"" thick)",                                    Tomatoes,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
398,,                                    1/4,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
399,,                                    1,                                    tbsp,                                    Hummus,                                    ,"https://www.eatthismuch.com/recipe/nutrition/ham-and-cheese-sandwich-with-spinach-and-hummus,906051/"
0,,                                    1,"                                    oz, 1 link",                                    Turkey sausage,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/"
1,,                                    1,                                    muffin,                                    English muffins,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/"
2,,                                    1/4,                                    cup,                                    Spinach,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/"
3,,                                    1/2,                                    oz,                                    Basil Pesto,                                    ,"https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/"
0,,1,                                    oz,                                    Granola,                                    ,"https://www.eatthismuch.com/recipe/nutrition/granola,473426/"
0,,12,                                    tbsp,                                    Parmesan cheese,                                    ,"https://www.eatthismuch.com/recipe/nutrition/easy-parmesan-crisps,1488023/"
